"Number","Status","Date/Time","Qty.","Total amount","Items Description","Subtotal","Discount","Sales tax","Delivery","Total","Profits","Payment Method","Customer","Salesperson","Observation"
"17133-2","Sale","06/30/2026 3:16 PM",1,1,"1xÁgua com gás ","4.5",0,0,0,"4.5","3.3","Efectivo","","Lucas",""
"17134-2","Sale","06/30/2026 3:17 PM",1,1,"1xÁgua com gás ","4.5",0,0,0,"4.5","3.3","Tarjeta Débito","","Lucas",""
"17136-2","Sale","06/30/2026 3:26 PM",1,1,"1xChurros de chocolate ","10",1,0,0,"9","1","Efectivo","","Lucas",""
"17137-2","Sale","06/30/2026 3:30 PM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Efectivo","","Lucas",""
"17138-2","Sale","06/30/2026 3:33 PM",1,1,"1xCascão ","9",0,0,0,"9","7.8","Efectivo","","Lucas",""
"17139-2","Sale","06/30/2026 4:23 PM",2,2,"1xCrepe suíço salgado , 1xÁgua sem gás ","14",0,0,0,"14","2","Tarjeta Crédito","","Lucas",""
"17140-2","Sale","06/30/2026 4:59 PM",1,2,"2xCascão ","18",0,0,0,"18","15.6","Tarjeta Débito","","Lucas",""
"17141-2","Sale","06/30/2026 5:02 PM",1,1,"1xChurros doce de leite ","10",0,0,0,"10","2","Efectivo","","Lucas",""
"17142-2","Sale","06/30/2026 5:43 PM",1,1,"1xCafe com Leite 180ml","7",0,0,0,"7",0,"Efectivo","","Lucas",""
"17143-2","Sale","06/30/2026 5:52 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Tarjeta Débito","","Lucas",""
"17144-2","Sale","06/30/2026 6:10 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Tarjeta Débito","","Lucas",""
"17145-2","Sale","06/30/2026 6:18 PM",1,1,"1xChurros de chocolate ","10",0,0,0,"10","2","Pix","","Lucas",""
"17146-2","Sale","07/01/2026 1:55 PM",2,2,"1xCopo 150ml, 1xCasquinha ","14",0,0,0,"14","7","Pix","","Lucas",""
"17147-2","Sale","07/01/2026 1:55 PM",1,1,"1xCrepe suíço salgado ","10",0,0,0,"10","2","Efectivo","","Lucas",""
"17148-2","Sale","07/01/2026 2:00 PM",1,1,"1xCascão ","9",0,0,0,"9","7.8","Efectivo","","Lucas",""
"17149-2","Sale","07/01/2026 2:13 PM",1,1,"1xMilkshake 400ml","14",0,0,0,"14","1","Pix","","Lucas",""
"17150-2","Sale","07/01/2026 2:22 PM",1,1,"1xRefri 310ml","7",0,0,0,"7","1","Efectivo","","Lucas",""
"17151-2","Sale","07/01/2026 2:31 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Efectivo","","Lucas",""
"17152-2","Sale","07/01/2026 2:44 PM",1,1,"1xMilkshake 400ml","14",0,0,0,"14","1","Tarjeta Débito","","Lucas",""
"17153-2","Sale","07/01/2026 2:46 PM",2,2,"1xCopo 250ml, 1xCopo 150ml","18",0,0,0,"18","2","Tarjeta Crédito","","Lucas",""
"17154-2","Sale","07/01/2026 2:48 PM",1,1,"1xMilkshake 500ml","16",0,0,0,"16",0,"Otros","","Lucas",""
"17155-2","Sale","07/01/2026 2:56 PM",3,4,"2xCasquinha , 1xCascão , 1xMilkshake 500ml","39",0,0,0,"39","19.8","Tarjeta Débito","","Lucas",""
"17156-2","Sale","07/01/2026 2:59 PM",2,4,"2xMilkshake 300ml, 2xÁgua sem gás ","30",0,0,0,"30","2","Tarjeta Crédito","","Lucas",""
"17157-2","Sale","07/01/2026 3:04 PM",1,2,"2xCascão ","18",0,0,0,"18","15.6","Pix","","Lucas",""
"17158-2","Sale","07/01/2026 3:11 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Efectivo","","Lucas",""
"17159-2","Sale","07/01/2026 3:16 PM",2,2,"1xÁgua sem gás , 1xÁgua com gás ","8.5",0,0,0,"8.5","3.3","Pix","","Lucas",""
"17160-2","Sale","07/01/2026 3:22 PM",1,1,"1xCopo 250ml","11",0,0,0,"11","1","Tarjeta Crédito","","Lucas",""
"17161-2","Sale","07/01/2026 3:30 PM",2,2,"1xCasquinha , 1xÁgua com gás ","11.5",0,0,0,"11.5","9.3","Efectivo","","Lucas",""
"17162-2","Sale","07/01/2026 3:34 PM",1,2,"2xCascão ","18",0,0,0,"18","15.6","Tarjeta Crédito","","Lucas",""
"17163-2","Sale","07/01/2026 3:36 PM",1,1,"1xMilkshake 300ml","11",0,0,0,"11","1","Efectivo","","Lucas",""
"17164-2","Sale","07/01/2026 3:46 PM",1,1,"1xCascão ","9",0,0,0,"9","7.8","Pix","","Lucas",""
"17165-2","Sale","07/01/2026 3:49 PM",2,3,"2xMilkshake 500ml, 1xÁgua sem gás ","36",0,0,0,"36",0,"Tarjeta Débito","","Lucas",""
"17166-2","Sale","07/01/2026 3:49 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Tarjeta Débito","","Lucas",""
"17167-2","Sale","07/01/2026 3:51 PM",1,1,"1xCopo 150ml","7",0,0,0,"7","1","Tarjeta Débito","","Lucas",""
"17168-2","Sale","07/01/2026 3:52 PM",1,1,"1xCopo 150ml","7",0,0,0,"7","1","Efectivo","","Lucas",""
"17169-2","Sale","07/01/2026 3:54 PM",1,2,"2xCrepe suíço salgado ","20",0,0,0,"20","4","Efectivo","","Lucas",""
"17170-2","Sale","07/01/2026 3:58 PM",1,1,"1xCascão ","9",0,0,0,"9","7.8","Tarjeta Débito","","Lucas",""
"17171-2","Sale","07/01/2026 4:01 PM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Pix","","Lucas",""
"17172-2","Sale","07/01/2026 4:04 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Pix","","Lucas",""
"17173-2","Sale","07/01/2026 4:05 PM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Efectivo","","Lucas",""
"17174-2","Sale","07/01/2026 4:22 PM",1,2,"2xMilkshake 400ml","28",0,0,0,"28","2","Pix","","Lucas",""
"17175-2","Sale","07/01/2026 4:22 PM",1,1,"1xChurros doce de leite ","10",0,0,0,"10","2","Tarjeta Débito","","Lucas",""
"17176-2","Sale","07/01/2026 4:41 PM",2,2,"1xMilkshake 300ml, 1xCopo 200ml","20",0,0,0,"20","2","Tarjeta Débito","","Lucas",""
"17177-2","Sale","07/01/2026 4:45 PM",2,2,"1xMilkshake 300ml, 1xCasquinha ","18",0,0,0,"18","7","Efectivo, Pix","","Lucas",""
"17178-2","Sale","07/01/2026 4:46 PM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Efectivo","","Lucas",""
"17179-2","Sale","07/01/2026 4:49 PM",1,1,"1xCascão ","9",0,0,0,"9","7.8","Tarjeta Débito","","Lucas",""
"17180-2","Sale","07/01/2026 4:52 PM",1,2,"2xCrepe suíço salgado ","20",0,0,0,"20","4","Pix","","Lucas",""
"17181-2","Sale","07/01/2026 4:57 PM",1,1,"1xCascão ","9",0,0,0,"9","7.8","Tarjeta Débito","","Lucas",""
"17182-2","Sale","07/01/2026 5:16 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Efectivo","","Lucas",""
"17183-2","Sale","07/01/2026 5:17 PM",1,2,"2xCasquinha ","14",0,0,0,"14","12","Tarjeta Débito","","Lucas",""
"17184-2","Sale","07/01/2026 5:39 PM",1,1,"1xMilkshake 300ml","11",0,0,0,"11","1","Tarjeta Crédito","","Lucas",""
"17185-2","Sale","07/01/2026 5:40 PM",1,1,"1xCascão ","9",0,0,0,"9","7.8","Tarjeta Crédito","","Lucas",""
"17186-2","Sale","07/01/2026 5:41 PM",2,3,"2xCasquinha , 1xCrepe suíço salgado ","24",0,0,0,"24","14","Otros","","Lucas",""
"17187-2","Sale","07/01/2026 5:44 PM",1,1,"1xCasquinha ","7",0,0,0,"7","6","Pix","","Lucas",""
"17188-2","Sale","07/01/2026 5:47 PM",1,2,"2xCascão ","18",0,0,0,"18","15.6","Efectivo","","Lucas",""
"17189-2","Sale","07/01/2026 5:49 PM",1,1,"1xCrepe suíço salgado ","10",0,0,0,"10","2","Tarjeta Débito","","Lucas",""
